text,emotion
"Honestly, he got a rude reply from support and was really irritated.",anger
"Today my teammate got cut off in traffic again, it ruined my mood completely.",anger
"Honestly, my family adopted a puppy from the shelter and felt so loved.",love
"Honestly, my friend spent the whole evening with family and felt deeply connected.",love
"Today my friend adopted a puppy from the shelter, I felt truly at peace.",love
"Honestly, they didn't get the internship offer and felt really down.",sadness
He got a warm hug after a rough week and felt deeply connected.,love
He just have a final viva next week — it kept me on edge.,fear
"My teammate had to say goodbye to a close friend, it left me in tears.",sadness
"Today my family was ignored during the meeting, I couldn't calm down for hours.",anger
She learned the flight got upgraded for free and couldn't believe it.,surprise
"They lost the way on a dark road, I couldn't stop worrying.",fear
"Today they was accused of cheating unfairly, it really wasn't fair.",anger
"Today my family passed the final exam, it felt amazing.",joy
"Today they solved a really hard bug, it felt amazing.",joy
We just didn't get the internship offer — it left me in tears.,sadness
My family got cut off in traffic again and felt so frustrated.,anger
"Honestly, my teammate found an old photo hidden in a drawer and couldn't believe it.",surprise
"Today my sister got cut off in traffic again, it was so frustrating.",anger
"She lost an important file before submission, it left me in tears.",sadness
"Honestly, they planned a surprise trip for the family and felt so much warmth.",love
We just was accused of cheating unfairly — it ruined my mood completely.,anger
"He celebrated an anniversary with loved ones, it filled my heart.",love
"Honestly, I couldn't attend the family function and was devastated.",sadness
She just celebrated an anniversary with loved ones — it filled my heart.,love
My sister might lose the job after the merger and felt a wave of panic.,fear
He had to say goodbye to a close friend and felt like crying.,sadness
I just learned the flight got upgraded for free — it was unbelievable.,surprise
My family just lost the way on a dark road — my hands were shaking.,fear
She just felt the ground shake during the earthquake drill — I barely slept that night.,fear
"Honestly, she have to give a presentation tomorrow and was really scared.",fear
"We watched the team lose in the last minute, I just wanted to be alone.",sadness
"We have to walk home alone late at night, I barely slept that night.",fear
I had the internet go down during the exam and was fuming.,anger
"Honestly, my sister saw a shooting star for the first time and was completely shocked.",surprise
"Honestly, they saw a shooting star for the first time and couldn't believe it.",surprise
"She saw a shooting star for the first time, I had to sit down for a second.",surprise
My family just found an old photo hidden in a drawer — it was unbelievable.,surprise
"My teammate failed the exam despite studying hard, it was a really hard day.",sadness
My teammate passed the final exam and felt absolutely thrilled.,joy
"Honestly, my sister finished the project on time and felt on top of the world.",joy
"Honestly, my teammate found out the exam was cancelled and couldn't believe it.",surprise
I saw the server crash right before the demo and was shaking with worry.,fear
"Today my friend saw a shooting star for the first time, I had to sit down for a second.",surprise
My family just got blamed for someone else's mistake — it really wasn't fair.,anger
"Honestly, they found out the exam was cancelled and was amazed.",surprise
"Honestly, I might lose the job after the merger and was shaking with worry.",fear
"They kept getting spam calls all day, it really wasn't fair.",anger
"Honestly, I planned a surprise trip for the family and cherished every moment.",love
"Today he passed the final exam, it was such a happy moment.",joy
"Honestly, she got a random bonus from work and was stunned.",surprise
"My friend saw the project credit given to someone else, it ruined my mood completely.",anger
My sister just waited two hours for a delayed flight — it was so frustrating.,anger
"Today we met an old friend after years, it was such a happy moment.",joy
"My colleague got selected for the internship, I was grinning the entire time.",joy
She just solved a really hard bug — I was grinning the entire time.,joy
"Today we won the cricket match, I was grinning the entire time.",joy
"Honestly, we have a final viva next week and was terrified.",fear
"My sister lost an important file before submission, it left me in tears.",sadness
My family watched the team lose in the last minute and felt heartbroken.,sadness
My sister missed the train home and felt like crying.,sadness
They got a heartfelt letter from a close friend and felt truly grateful.,love
"They got a surprise gift, it was such a happy moment.",joy
"Today we adopted a puppy from the shelter, it was such a warm feeling.",love
My friend just have to give a presentation tomorrow — my hands were shaking.,fear
"Honestly, she couldn't attend the family function and was devastated.",sadness
My colleague just waited two hours for a delayed flight — it was so frustrating.,anger
"Today they reunited with childhood friends, it meant the world to me.",love
I waited two hours for a delayed flight and was really irritated.,anger
My family just kept getting spam calls all day — it was so frustrating.,anger
"My colleague got promoted at work, it made my whole day.",joy
They got blamed for someone else's mistake and felt so frustrated.,anger
He got a heartfelt letter from a close friend and felt so loved.,love
"My family saw the server crash right before the demo, I barely slept that night.",fear
"He got blamed for someone else's mistake, I couldn't calm down for hours.",anger
"He have to give a presentation tomorrow, it kept me on edge.",fear
My teammate lost an important file before submission and felt really down.,sadness
"Today my teammate couldn't attend the family function, it hurt more than expected.",sadness
"My friend heard strange noises outside at night, it kept me on edge.",fear
"My family spent the weekend alone and unwell, it hurt more than expected.",sadness
"He spent the whole evening with family, it filled my heart.",love
"She watched the team lose in the last minute, I just wanted to be alone.",sadness
My family just met an old friend after years — it was such a happy moment.,joy
"Honestly, my friend cooked dinner together after a long time and felt so much warmth.",love
"We received an unexpected job offer, it caught everyone off guard.",surprise
"Today he missed the train home, it was a really hard day.",sadness
My colleague just spent the weekend alone and unwell — it left me in tears.,sadness
My teammate cooked dinner together after a long time and felt so much warmth.,love
"Honestly, he failed the exam despite studying hard and felt like crying.",sadness
My family might fail the upcoming interview and was shaking with worry.,fear
She planned a surprise trip for the family and felt so much warmth.,love
My sister just opened the box to find a puppy inside — nobody saw it coming.,surprise
